id,desc,relevance,url_pdf,country
24-16145,Réhabilitation du quartier du marché couvert de la ville de Tonnerre,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16145.pdf,FRANCE
24-16158,Mission de maitrise d'oeuvre pour l'aménagement du futur Centre d'Art pour les 0 à 6 ans à Montpellier,60%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16158.pdf,FRANCE
24-16169,Prestations pour l'aménagement du local Yélo Deta loué par la RTCR,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16169.pdf,FRANCE
24-16179,Accord Cadre - Amo Economie de la Construction,60%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16179.pdf,FRANCE
24-16052,"Fourniture de carburant par cartes accréditives pour les véhicules du SMMAR sur le bassin versant de l'Aude, de la Berre et du Rieu et le territoire national.",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16052.pdf,FRANCE
24-16083,Travaux de rénovation de trois sentiers dans la Restonica,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16083.pdf,FRANCE
24-15853,Acquisition et mise en oeuvre d'un Sigb et d'une solution portail pour la Médiathèque Départementale des Alpes-de-Haute-Provence,90%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15853.pdf,FRANCE
24-15886,RELANCE APRES DEFAILLANCE DU TITULAIRE DU LOT N°2 GROS-OEUVRE ET CARRELAGE DU MARCHE COUVERTURE ET AMENAGEMENT D'AIRES DE JEUX AU STADE MAX SORON CONFORME AUX NORMES SISMIQUES.,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15886.pdf,FRANCE
24-15905,Travaux de démolition ZAC RESTANQUE,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15905.pdf,FRANCE
24-15945,Fourniture de matériel informatique (réseaux) et installation et paramétrage de la (les) solution(s). Lieu d'exécution : Espace Culturel de la Communauté de Communes du Pays de Nay,30%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15945.pdf,FRANCE
24-15770,"Amélioration thermique des bâtiments E, F et G, création d'une maison des Lycéens et mises aux normes PMR et sécurité de l'externat (E) à l'EREA Jules VERNE à JOIGNY (89)",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15770.pdf,FRANCE
24-15986,Travaux de réparations et/ou réalisations de séparateurs et fossés en béton coulé en place et faiblement armé sur les routes départementales,20%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15986.pdf,FRANCE
24-15869,La fourniture d'éclairage électrique pour l'environnement hospitalier GHT,70%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15869.pdf,FRANCE
24-15915,Mission d'assistance à maîtrise d'ouvrage pour une opération de modernisation et d'optimisation des installations de neige de culture du domaine skiable Jura sur Léman.,30%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15915.pdf,FRANCE
24-15577,Impression de documents de communication pour l'Opéra de Limoges pour la saison 2024/2025,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15577.pdf,FRANCE
24-15579,"Collecte, Traitement, Recyclage Des Dechets Papiers, Cartons Et Mise A Disposition D'Une Benne, Collecte, Destruction Confidentielle D'Archives",50%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15579.pdf,FRANCE
24-15589,"Reconstruction du mur de la cour basse et modification du mur de la cour haute : démolition, terrassement, fondation, désamiantage, maçonnerie, VRD, serrurerie, peintures.",10%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15589.pdf,FRANCE
24-15697,"Marchés de travaux pour la réhabilitation du Bâtiment administratif de l'ancien hôpital du Grau Du Roi - Relance des lots 7, 8 et 9. Commune de le Grau Du Roi",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15697.pdf,FRANCE
24-15719,Assistance à maîtrise d'ouvrage (Amo) de mise à disposition par la Région aux communes pour les accompagner dans la mise en oeuvre des procédures foncières relevant de la compétenc,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15719.pdf,FRANCE
24-15725,Travaux d'extension et de requalification de la déchetterie de Corte,25%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15725.pdf,FRANCE
24-15566,Travaux de restauration du bocage sur le périmètre du programme Breizh Bocage en Baie de la Forêt - Lot n° 1 (relance suite infructuosité),10%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15566.pdf,FRANCE
24-15569,Accord-cadre de formations sur l'agilité destinées aux agents de la Direction des Systèmes d'Information et des Usages Numériques du Conseil départemental des Bouches-du-Rhône,30%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15569.pdf,FRANCE
24-15596,"Le présent marché a pour objet la location, la réparation et la maintenance des photocopieurs pour les services de la Ville de Vaucresson (92420)",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15596.pdf,FRANCE
24-15609,Marché de maîtrise d'oeuvre ayant pour objet les travaux de réfection des couvertures et des étanchéités d'établissements gérés par le C.R.O.U.S. de Lille.,15%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15609.pdf,FRANCE
24-15295,Marché public relatif à la gestion des aires d'accueil des gens du voyage sur le territoire de la Communauté de Communes du Val d'Essonne,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15295.pdf,FRANCE
24-15182,"Appel d'offres ouvert en vue de prestations de maintenance des cloches, horloges et paratonnerres de la Ville de Toulon en deux lots",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15182.pdf,FRANCE
24-15215,Achat d'équipements de laboratoire pour traitement d'échantillons dans le cadre des activités du Centre de Recherche en Environnement Côtier,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15215.pdf,FRANCE
24-15217,Fournitures de donnée pour des analyses ESG,80%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15217.pdf,FRANCE
24-15228,Mission de Maitrise d'oeuvre pour la rénovation et l'extension de la résidence Jean de Luxembourg à Haubourdin et l'extension de la résidence les magnolias de Loos,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15228.pdf,FRANCE
24-15257,"Acquisition de fournitures administratives, pédagogiques, scolaires et pour les activités manuelles commandées par les écoles et les services de la commune",0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15257.pdf,FRANCE
24-14924,"Accord-cadre à bons de commande portant sur la réalisation de missions de coordination en matière de sécurité et de protection de la santé des travailleurs pour les opérations de 1ère, 2ème et 3ème ca",60%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14924.pdf,FRANCE
24-15005,Maîtrise d'oeuvre pour le réaménagement du seuil de Saint-Lô dans l'objectif d'améliorer les fonctionnements écologiques et les usages sociaux du site,40%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15005.pdf,FRANCE
24-14815,SERVICES ROUTIERS DE TRANSPORT SCOLAIRE DE LA NIEVRE POUR ELEVES EN SITUATION DE HANDICAP OU FREQUENTANT UNE CLASSE SPECIALISEE,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14815.pdf,FRANCE
24-14866,MPPS entretien des espaces verts de la CCARM / 2024-2026,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14866.pdf,FRANCE
24-14902,Prestations de services d'agence de voyages,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14902.pdf,FRANCE
24-14920,PRESTATION DE NETTOYAGE DE PARCS ET SQUARES POUR LA VILLE DE BAGNEUX,0%,https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14920.pdf,FRANCE
